Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
ABI16504,Influenza A virus (A/China/GD01/2006(H5N1)),GenBank,set:da5182a47c12dc86814d310bb7b66bf3eb4574f8,DQ835313,,"Zhou,J.J., Fu,J., Fang,D.Y., Yan,H.J., Tian,J., Zhou,J.M., Tao,J.P., Liang,Y., Jiang,L.F., Lai,X.M., Li,M.F.",1/1/2007,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,1,hemagglutinin,China,China,,Homo sapiens,,,,,hemagglutinin [Influenza A virus (A/China/GD01/2006(H5N1))]
ABI16505,Influenza A virus (A/China/GD01/2006(H5N1)),GenBank,set:651fac1dd71f5c7cd328eea30af27105be1fc706,DQ835314,,"Jiang,L.F., Zhou,J.J., Fang,D.Y., Fu,J., Zhou,J.M., Yan,H.J., Tao,J.P., Lai,X.M., Liang,Y., Li,M.F.",1/1/2007,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,H5N1,5,,nucleoprotein,China,China,,Homo sapiens,,,,,nucleoprotein [Influenza A virus (A/China/GD01/2006(H5N1))]
ABI16506,Influenza A virus (A/China/GD01/2006(H5N1)),GenBank,set:da5182a47c12dc86814d310bb7b66bf3eb4574f8,DQ835315,,"Zhou,J.J., Fu,J., Fang,D.Y., Yan,H.J., Tian,J., Zhou,J.M., Tao,J.P., Liang,Y., Jiang,L.F., Lai,X.M., Li,M.F.",1/1/2007,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),449,H5N1,6,1,neuraminidase,China,China,,Homo sapiens,,,,,neuraminidase [Influenza A virus (A/China/GD01/2006(H5N1))]
ABI16507,Influenza A virus (A/China/GD01/2006(H5N1)),GenBank,set:651fac1dd71f5c7cd328eea30af27105be1fc706,DQ835316,,"Jiang,L.F., Zhou,J.J., Fang,D.Y., Fu,J., Zhou,J.M., Yan,H.J., Tao,J.P., Lai,X.M., Liang,Y., Li,M.F.",1/1/2007,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,H5N1,7,,membrane ion channel protein M2,China,China,,Homo sapiens,,,,,membrane ion channel protein M2 [Influenza A virus (A/China/GD01/2006(H5N1))]
ABI16508,Influenza A virus (A/China/GD01/2006(H5N1)),GenBank,set:651fac1dd71f5c7cd328eea30af27105be1fc706,DQ835316,,"Jiang,L.F., Zhou,J.J., Fang,D.Y., Fu,J., Zhou,J.M., Yan,H.J., Tao,J.P., Lai,X.M., Liang,Y., Li,M.F.",1/1/2007,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,H5N1,7,,membrane matrix protein M1,China,China,,Homo sapiens,,,,,membrane matrix protein M1 [Influenza A virus (A/China/GD01/2006(H5N1))]
ABI16509,Influenza A virus (A/China/GD01/2006(H5N1)),GenBank,set:651fac1dd71f5c7cd328eea30af27105be1fc706,DQ835317,,"Jiang,L.F., Zhou,J.J., Fang,D.Y., Fu,J., Zhou,J.M., Yan,H.J., Tao,J.P., Lai,X.M., Liang,Y., Li,M.F.",1/1/2007,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,,nonstructural protein NS2,China,China,,Homo sapiens,,,,,nonstructural protein NS2 [Influenza A virus (A/China/GD01/2006(H5N1))]
ABI16510,Influenza A virus (A/China/GD01/2006(H5N1)),GenBank,set:651fac1dd71f5c7cd328eea30af27105be1fc706,DQ835317,,"Jiang,L.F., Zhou,J.J., Fang,D.Y., Fu,J., Zhou,J.M., Yan,H.J., Tao,J.P., Lai,X.M., Liang,Y., Li,M.F.",1/1/2007,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,H5N1,8,,nonstructural protein NS1,China,China,,Homo sapiens,,,,,nonstructural protein NS1 [Influenza A virus (A/China/GD01/2006(H5N1))]
ABK34761,Influenza A virus (A/chicken/Shanxi/2/2006(H5N1)),GenBank,set:3ddb96a040897275db34370f7d9fd57701c84e38,DQ914811,,"Chen,H., Li,Y., Shi,J., Zhao,H.",11/8/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,H5N1,2,,polymerase basic protein 1,China,China,,,egg,,,,polymerase basic protein 1 [Influenza A virus (A/chicken/Shanxi/2/2006(H5N1))]
ABJ98933,Influenza A virus (A/duck/Hubei/wq/2003(H5N1)),GenBank,set:f6d07c3974209a1093e6e300b1d525eca43a6bd4,DQ997171,,"Liao,X., Zhang,X., Wang,J., Yu,J., Li,T.",10/28/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,H5N1,7,,matrix protein 1,China,China,,,,,,,matrix protein 1 [Influenza A virus (A/duck/Hubei/wq/2003(H5N1))]
ABJ98934,Influenza A virus (A/duck/Hubei/wq/2003(H5N1)),GenBank,set:f6d07c3974209a1093e6e300b1d525eca43a6bd4,DQ997171,,"Liao,X., Zhang,X., Wang,J., Yu,J., Li,T.",10/28/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,H5N1,7,,matrix protein 2,China,China,,,,,,,matrix protein 2 [Influenza A virus (A/duck/Hubei/wq/2003(H5N1))]
ABJ98935,Influenza A virus (A/duck/Hubei/wq/2003(H5N1)),GenBank,set:f6d07c3974209a1093e6e300b1d525eca43a6bd4,DQ997173,,"Liao,X., Zhang,X., Wang,J., Yu,J., Li,T.",10/28/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),449,H5N1,6,,neuraminidase,China,China,,,,,,,neuraminidase [Influenza A virus (A/duck/Hubei/wq/2003(H5N1))]
ABJ98936,Influenza A virus (A/duck/Hubei/wq/2003(H5N1)),GenBank,set:f6d07c3974209a1093e6e300b1d525eca43a6bd4,DQ997174,,"Liao,X., Zhang,X., Wang,J., Yu,J., Li,T.",10/28/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,H5N1,5,,nucleoprotein,China,China,,,,,,,nucleoprotein [Influenza A virus (A/duck/Hubei/wq/2003(H5N1))]
ABJ98937,Influenza A virus (A/duck/Hubei/wq/2003(H5N1)),GenBank,set:f6d07c3974209a1093e6e300b1d525eca43a6bd4,DQ997175,,"Liao,X., Zhang,X., Wang,J., Yu,J., Li,T.",10/28/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,H5N1,8,,nonstructural protein 1,China,China,,,,,,,nonstructural protein 1 [Influenza A virus (A/duck/Hubei/wq/2003(H5N1))]
ABJ98938,Influenza A virus (A/duck/Hubei/wq/2003(H5N1)),GenBank,set:f6d07c3974209a1093e6e300b1d525eca43a6bd4,DQ997175,,"Liao,X., Zhang,X., Wang,J., Yu,J., Li,T.",10/28/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,,nonstructural protein 2,China,China,,,,,,,nonstructural protein 2 [Influenza A virus (A/duck/Hubei/wq/2003(H5N1))]
ABJ98939,Influenza A virus (A/duck/Hubei/wq/2003(H5N1)),GenBank,set:f6d07c3974209a1093e6e300b1d525eca43a6bd4,DQ997176,,"Liao,X., Zhang,X., Wang,J., Yu,J., Li,T.",10/28/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,H5N1,3,,polymerase acidic protein,China,China,,,,,,,polymerase acidic protein [Influenza A virus (A/duck/Hubei/wq/2003(H5N1))]
ABJ98940,Influenza A virus (A/duck/Hubei/wq/2003(H5N1)),GenBank,set:f6d07c3974209a1093e6e300b1d525eca43a6bd4,DQ997177,,"Liao,X., Zhang,X., Wang,J., Yu,J., Li,T.",10/28/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,H5N1,2,,polymerase basic protein 1,China,China,,,,,,,polymerase basic protein 1 [Influenza A virus (A/duck/Hubei/wq/2003(H5N1))]
ABJ98941,Influenza A virus (A/duck/Hubei/wq/2003(H5N1)),GenBank,set:f6d07c3974209a1093e6e300b1d525eca43a6bd4,DQ997178,,"Liao,X., Zhang,X., Wang,J., Yu,J., Li,T.",10/28/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,H5N1,1,,polymerase basic protein 2,China,China,,,,,,,polymerase basic protein 2 [Influenza A virus (A/duck/Hubei/wq/2003(H5N1))]
ABJ16471,Influenza A virus (A/swine/Henan/wy/2004(H5N1)),GenBank,set:6a96e469a2f060dfcf4513ebec46a5880bc0e915,DQ997251,,"Liao,X., Zhang,X., Wang,J., Yu,J., Chen,Z.",10/11/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,H5N1,2,,polymerase basic protein 1,China,China,,,,,,,polymerase basic protein 1 [Influenza A virus (A/swine/Henan/wy/2004(H5N1))]
ABJ16472,Influenza A virus (A/swine/Henan/wy/2004(H5N1)),GenBank,set:6a96e469a2f060dfcf4513ebec46a5880bc0e915,DQ997252,,"Liao,X., Zhang,X., Wang,J., Yu,J., Chen,Z.",10/11/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,H5N1,1,,polymerase basic protein 2,China,China,,,,,,,polymerase basic protein 2 [Influenza A virus (A/swine/Henan/wy/2004(H5N1))]
ABJ16473,Influenza A virus (A/swine/Henan/wy/2004(H5N1)),GenBank,set:6a96e469a2f060dfcf4513ebec46a5880bc0e915,DQ997253,,"Liao,X., Zhang,X., Wang,J., Yu,J., Chen,Z.",10/11/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),568,H5N1,4,,hemagglutinin,China,China,,,,,,,hemagglutinin [Influenza A virus (A/swine/Henan/wy/2004(H5N1))]
ABJ16474,Influenza A virus (A/swine/Henan/wy/2004(H5N1)),GenBank,set:6a96e469a2f060dfcf4513ebec46a5880bc0e915,DQ997254,,"Liao,X., Zhang,X., Wang,J., Yu,J., Chen,Z.",10/11/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),449,H5N1,6,,neuraminidase,China,China,,,,,,,neuraminidase [Influenza A virus (A/swine/Henan/wy/2004(H5N1))]
ABJ16475,Influenza A virus (A/swine/Henan/wy/2004(H5N1)),GenBank,set:6a96e469a2f060dfcf4513ebec46a5880bc0e915,DQ997255,,"Liao,X., Zhang,X., Wang,J., Yu,J., Chen,Z.",10/11/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,H5N1,5,,nucleoprotein,China,China,,,,,,,nucleoprotein [Influenza A virus (A/swine/Henan/wy/2004(H5N1))]
ABJ16476,Influenza A virus (A/swine/Henan/wy/2004(H5N1)),GenBank,set:6a96e469a2f060dfcf4513ebec46a5880bc0e915,DQ997256,,"Liao,X., Zhang,X., Wang,J., Yu,J., Chen,Z.",10/11/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,H5N1,8,,nonstructural protein 1,China,China,,,,,,,nonstructural protein 1 [Influenza A virus (A/swine/Henan/wy/2004(H5N1))]
ABJ16477,Influenza A virus (A/swine/Henan/wy/2004(H5N1)),GenBank,set:6a96e469a2f060dfcf4513ebec46a5880bc0e915,DQ997256,,"Liao,X., Zhang,X., Wang,J., Yu,J., Chen,Z.",10/11/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,,nonstructural protein 2,China,China,,,,,,,nonstructural protein 2 [Influenza A virus (A/swine/Henan/wy/2004(H5N1))]
ABJ16478,Influenza A virus (A/swine/Henan/wy/2004(H5N1)),GenBank,set:6a96e469a2f060dfcf4513ebec46a5880bc0e915,DQ997257,,"Liao,X., Zhang,X., Wang,J., Yu,J., Chen,Z.",10/11/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,H5N1,3,,polymerase acidic protein,China,China,,,,,,,polymerase acidic protein [Influenza A virus (A/swine/Henan/wy/2004(H5N1))]
ABJ16479,Influenza A virus (A/swine/Henan/wy/2004(H5N1)),GenBank,set:6a96e469a2f060dfcf4513ebec46a5880bc0e915,DQ997258,,"Liao,X., Zhang,X., Wang,J., Yu,J., Chen,Z.",10/11/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,H5N1,7,,matrix protein 1,China,China,,,,,,,matrix protein 1 [Influenza A virus (A/swine/Henan/wy/2004(H5N1))]
ABJ16480,Influenza A virus (A/swine/Henan/wy/2004(H5N1)),GenBank,set:6a96e469a2f060dfcf4513ebec46a5880bc0e915,DQ997258,,"Liao,X., Zhang,X., Wang,J., Yu,J., Chen,Z.",10/11/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,H5N1,7,,matrix protein 2,China,China,,,,,,,matrix protein 2 [Influenza A virus (A/swine/Henan/wy/2004(H5N1))]
ABJ09466,Influenza A virus (A/duck/Guangxi/xa/2001(H5N1)),GenBank,set:00029e0ed3f907dfa77b04c07048ecc4dbdcbbdf,DQ997513,,"Liao,X., Zhang,X., Wang,J., Yu,J., Liu,J.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),568,H5N1,4,,hemagglutinin,China,China,,,,,,,hemagglutinin [Influenza A virus (A/duck/Guangxi/xa/2001(H5N1))]
ABJ09467,Influenza A virus (A/duck/Guangxi/xa/2001(H5N1)),GenBank,set:00029e0ed3f907dfa77b04c07048ecc4dbdcbbdf,DQ997514,,"Liao,X., Zhang,X., Wang,J., Yu,J., Liu,J.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,H5N1,6,,neuraminidase,China,China,,,,,,,neuraminidase [Influenza A virus (A/duck/Guangxi/xa/2001(H5N1))]
ABJ09468,Influenza A virus (A/duck/Guangxi/xa/2001(H5N1)),GenBank,set:00029e0ed3f907dfa77b04c07048ecc4dbdcbbdf,DQ997515,,"Liao,X., Zhang,X., Wang,J., Yu,J., Liu,J.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,H5N1,5,,nucleoprotein,China,China,,,,,,,nucleoprotein [Influenza A virus (A/duck/Guangxi/xa/2001(H5N1))]
ABJ09469,Influenza A virus (A/duck/Guangxi/xa/2001(H5N1)),GenBank,set:00029e0ed3f907dfa77b04c07048ecc4dbdcbbdf,DQ997516,,"Liao,X., Zhang,X., Wang,J., Yu,J., Liu,J.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,H5N1,8,,nonstructural protein 1,China,China,,,,,,,nonstructural protein 1 [Influenza A virus (A/duck/Guangxi/xa/2001(H5N1))]
ABJ09470,Influenza A virus (A/duck/Guangxi/xa/2001(H5N1)),GenBank,set:00029e0ed3f907dfa77b04c07048ecc4dbdcbbdf,DQ997516,,"Liao,X., Zhang,X., Wang,J., Yu,J., Liu,J.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,,nonstructural protein 2,China,China,,,,,,,nonstructural protein 2 [Influenza A virus (A/duck/Guangxi/xa/2001(H5N1))]
ABJ09471,Influenza A virus (A/duck/Guangxi/xa/2001(H5N1)),GenBank,set:00029e0ed3f907dfa77b04c07048ecc4dbdcbbdf,DQ997517,,"Liao,X., Zhang,X., Wang,J., Yu,J., Liu,J.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,H5N1,3,,polymerase acidic protein,China,China,,,,,,,polymerase acidic protein [Influenza A virus (A/duck/Guangxi/xa/2001(H5N1))]
ABJ09472,Influenza A virus (A/duck/Guangxi/xa/2001(H5N1)),GenBank,set:00029e0ed3f907dfa77b04c07048ecc4dbdcbbdf,DQ997518,,"Liao,X., Zhang,X., Wang,J., Yu,J., Liu,J.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,H5N1,2,,polymerase basic protein 1,China,China,,,,,,,polymerase basic protein 1 [Influenza A virus (A/duck/Guangxi/xa/2001(H5N1))]
ABJ09473,Influenza A virus (A/duck/Guangxi/xa/2001(H5N1)),GenBank,set:00029e0ed3f907dfa77b04c07048ecc4dbdcbbdf,DQ997519,,"Liao,X., Zhang,X., Wang,J., Yu,J., Liu,J.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,H5N1,1,,polymerase basic protein 2,China,China,,,,,,,polymerase basic protein 2 [Influenza A virus (A/duck/Guangxi/xa/2001(H5N1))]
ABJ09474,Influenza A virus (A/duck/Guangxi/xa/2001(H5N1)),GenBank,set:00029e0ed3f907dfa77b04c07048ecc4dbdcbbdf,DQ997520,,"Liao,X., Zhang,X., Wang,J., Yu,J., Liu,J.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,H5N1,7,,matrix protein 1,China,China,,,,,,,matrix protein 1 [Influenza A virus (A/duck/Guangxi/xa/2001(H5N1))]
ABJ09475,Influenza A virus (A/duck/Guangxi/xa/2001(H5N1)),GenBank,set:00029e0ed3f907dfa77b04c07048ecc4dbdcbbdf,DQ997520,,"Liao,X., Zhang,X., Wang,J., Yu,J., Liu,J.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,H5N1,7,,matrix protein 2,China,China,,,,,,,matrix protein 2 [Influenza A virus (A/duck/Guangxi/xa/2001(H5N1))]
ABJ09476,Influenza A virus (A/duck/Hubei/wp/2003(H5N1)),GenBank,set:f175d81291259ff33bcef4049dec66aa540b520f,DQ997163,,"Liao,X., Zhang,X., Wang,J., Yu,J., Li,T.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),568,H5N1,4,,hemagglutinin,China,China,,,,,,,hemagglutinin [Influenza A virus (A/duck/Hubei/wp/2003(H5N1))]
ABJ09477,Influenza A virus (A/duck/Hubei/wp/2003(H5N1)),GenBank,set:f175d81291259ff33bcef4049dec66aa540b520f,DQ997164,,"Liao,X., Zhang,X., Wang,J., Yu,J., Li,T.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),449,H5N1,6,,neuraminidase,China,China,,,,,,,neuraminidase [Influenza A virus (A/duck/Hubei/wp/2003(H5N1))]
ABJ09478,Influenza A virus (A/duck/Hubei/wp/2003(H5N1)),GenBank,set:f175d81291259ff33bcef4049dec66aa540b520f,DQ997165,,"Liao,X., Zhang,X., Wang,J., Yu,J., Li,T.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,H5N1,5,,nucleoprotein,China,China,,,,,,,nucleoprotein [Influenza A virus (A/duck/Hubei/wp/2003(H5N1))]
ABJ09479,Influenza A virus (A/duck/Hubei/wp/2003(H5N1)),GenBank,set:f175d81291259ff33bcef4049dec66aa540b520f,DQ997166,,"Liao,X., Zhang,X., Wang,J., Yu,J., Li,T.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,H5N1,8,,nonstructural protein 1,China,China,,,,,,,nonstructural protein 1 [Influenza A virus (A/duck/Hubei/wp/2003(H5N1))]
ABJ09480,Influenza A virus (A/duck/Hubei/wp/2003(H5N1)),GenBank,set:f175d81291259ff33bcef4049dec66aa540b520f,DQ997166,,"Liao,X., Zhang,X., Wang,J., Yu,J., Li,T.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,,nonstructural protein 2,China,China,,,,,,,nonstructural protein 2 [Influenza A virus (A/duck/Hubei/wp/2003(H5N1))]
ABJ09481,Influenza A virus (A/duck/Hubei/wp/2003(H5N1)),GenBank,set:f175d81291259ff33bcef4049dec66aa540b520f,DQ997167,,"Liao,X., Zhang,X., Wang,J., Yu,J., Li,T.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,H5N1,3,,polymerase acidic protein,China,China,,,,,,,polymerase acidic protein [Influenza A virus (A/duck/Hubei/wp/2003(H5N1))]
ABJ09482,Influenza A virus (A/duck/Hubei/wp/2003(H5N1)),GenBank,set:f175d81291259ff33bcef4049dec66aa540b520f,DQ997168,,"Liao,X., Zhang,X., Wang,J., Yu,J., Li,T.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,H5N1,2,,polymerase basic protein 1,China,China,,,,,,,polymerase basic protein 1 [Influenza A virus (A/duck/Hubei/wp/2003(H5N1))]
ABJ09483,Influenza A virus (A/duck/Hubei/wp/2003(H5N1)),GenBank,set:f175d81291259ff33bcef4049dec66aa540b520f,DQ997169,,"Liao,X., Zhang,X., Wang,J., Yu,J., Li,T.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,H5N1,1,,polymerase basic protein 2,China,China,,,,,,,polymerase basic protein 2 [Influenza A virus (A/duck/Hubei/wp/2003(H5N1))]
ABJ09484,Influenza A virus (A/duck/Hubei/wp/2003(H5N1)),GenBank,set:f175d81291259ff33bcef4049dec66aa540b520f,DQ997170,,"Liao,X., Zhang,X., Wang,J., Yu,J., Li,T.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,H5N1,7,,matrix protein 1,China,China,,,,,,,matrix protein 1 [Influenza A virus (A/duck/Hubei/wp/2003(H5N1))]
ABJ09485,Influenza A virus (A/duck/Hubei/wp/2003(H5N1)),GenBank,set:f175d81291259ff33bcef4049dec66aa540b520f,DQ997170,,"Liao,X., Zhang,X., Wang,J., Yu,J., Li,T.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,H5N1,7,,matrix protein 2,China,China,,,,,,,matrix protein 2 [Influenza A virus (A/duck/Hubei/wp/2003(H5N1))]
ABJ09486,Influenza A virus (A/duck/Shanghai/xj/2002(H5N1)),GenBank,set:9f76dcf8033d38c66028b9c31be5eae9a4458495,DQ997529,,"Liao,X., Zhang,X., Wang,J., Yu,J., Liu,J.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,H5N1,2,,polymerase basic protein 1,China,China,,,,,,,polymerase basic protein 1 [Influenza A virus (A/duck/Shanghai/xj/2002(H5N1))]
ABJ09487,Influenza A virus (A/duck/Shanghai/xj/2002(H5N1)),GenBank,set:9f76dcf8033d38c66028b9c31be5eae9a4458495,DQ997530,,"Liao,X., Zhang,X., Wang,J., Yu,J., Liu,J.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,H5N1,1,,polymerase basic protein 2,China,China,,,,,,,polymerase basic protein 2 [Influenza A virus (A/duck/Shanghai/xj/2002(H5N1))]
ABJ09488,Influenza A virus (A/duck/Shanghai/xj/2002(H5N1)),GenBank,set:9f76dcf8033d38c66028b9c31be5eae9a4458495,DQ997531,,"Liao,X., Zhang,X., Wang,J., Yu,J., Liu,J.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),568,H5N1,4,,hemagglutinin,China,China,,,,,,,hemagglutinin [Influenza A virus (A/duck/Shanghai/xj/2002(H5N1))]
ABJ09489,Influenza A virus (A/duck/Shanghai/xj/2002(H5N1)),GenBank,set:9f76dcf8033d38c66028b9c31be5eae9a4458495,DQ997532,,"Liao,X., Zhang,X., Wang,J., Yu,J., Liu,J.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),449,H5N1,6,,neuraminidase,China,China,,,,,,,neuraminidase [Influenza A virus (A/duck/Shanghai/xj/2002(H5N1))]
ABJ09490,Influenza A virus (A/duck/Shanghai/xj/2002(H5N1)),GenBank,set:9f76dcf8033d38c66028b9c31be5eae9a4458495,DQ997533,,"Liao,X., Zhang,X., Wang,J., Yu,J., Liu,J.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,H5N1,5,,nucleoprotein,China,China,,,,,,,nucleoprotein [Influenza A virus (A/duck/Shanghai/xj/2002(H5N1))]
ABJ09491,Influenza A virus (A/duck/Shanghai/xj/2002(H5N1)),GenBank,set:9f76dcf8033d38c66028b9c31be5eae9a4458495,DQ997534,,"Liao,X., Zhang,X., Wang,J., Yu,J., Liu,J.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,H5N1,8,,nonstructural protein 1,China,China,,,,,,,nonstructural protein 1 [Influenza A virus (A/duck/Shanghai/xj/2002(H5N1))]
ABJ09492,Influenza A virus (A/duck/Shanghai/xj/2002(H5N1)),GenBank,set:9f76dcf8033d38c66028b9c31be5eae9a4458495,DQ997534,,"Liao,X., Zhang,X., Wang,J., Yu,J., Liu,J.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,,nonstructural protein 2,China,China,,,,,,,nonstructural protein 2 [Influenza A virus (A/duck/Shanghai/xj/2002(H5N1))]
ABJ09493,Influenza A virus (A/duck/Shanghai/xj/2002(H5N1)),GenBank,set:9f76dcf8033d38c66028b9c31be5eae9a4458495,DQ997535,,"Liao,X., Zhang,X., Wang,J., Yu,J., Liu,J.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,H5N1,3,,polymerase acidic protein,China,China,,,,,,,polymerase acidic protein [Influenza A virus (A/duck/Shanghai/xj/2002(H5N1))]
ABJ09494,Influenza A virus (A/duck/Shanghai/xj/2002(H5N1)),GenBank,set:9f76dcf8033d38c66028b9c31be5eae9a4458495,DQ997536,,"Liao,X., Zhang,X., Wang,J., Yu,J., Liu,J.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,H5N1,7,,matrix protein 1,China,China,,,,,,,matrix protein 1 [Influenza A virus (A/duck/Shanghai/xj/2002(H5N1))]
ABJ09495,Influenza A virus (A/duck/Shanghai/xj/2002(H5N1)),GenBank,set:9f76dcf8033d38c66028b9c31be5eae9a4458495,DQ997536,,"Liao,X., Zhang,X., Wang,J., Yu,J., Liu,J.",10/9/2006,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,H5N1,7,,matrix protein 2,China,China,,,,,,,matrix protein 2 [Influenza A virus (A/duck/Shanghai/xj/2002(H5N1))]
